unit,jobId,title,promptFile,sourceImage,targetFile,status
"J1","05_washroom_bath_wide_view","Washroom / Bath","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\03_J1_type_j1_suite\05_washroom_bath_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\03_J1_type_j1_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\03_J1_type_j1_suite\05_washroom_bath_wide_view\render_9x16.png","pending"
"J3","02_living_dining_wide_view","Living / Dining","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\04_J3_type_j3_suite\02_living_dining_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\04_J3_type_j3_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\04_J3_type_j3_suite\02_living_dining_wide_view\render_9x16.png","pending"
"J3","03_kitchen_pantry_wide_view","Kitchen / Pantry","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\04_J3_type_j3_suite\03_kitchen_pantry_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\04_J3_type_j3_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\04_J3_type_j3_suite\03_kitchen_pantry_wide_view\render_9x16.png","pending"
"J3","04_main_bedroom_wide_view","Main Bedroom","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\04_J3_type_j3_suite\04_main_bedroom_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\04_J3_type_j3_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\04_J3_type_j3_suite\04_main_bedroom_wide_view\render_9x16.png","pending"
"J3","05_washroom_bath_wide_view","Washroom / Bath","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\04_J3_type_j3_suite\05_washroom_bath_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\04_J3_type_j3_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\04_J3_type_j3_suite\05_washroom_bath_wide_view\render_9x16.png","pending"
"M1","02_living_dining_wide_view","Living / Dining","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\05_M1_type_m1_suite\02_living_dining_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\05_M1_type_m1_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\05_M1_type_m1_suite\02_living_dining_wide_view\render_9x16.png","pending"
"M1","03_kitchen_pantry_wide_view","Kitchen / Pantry","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\05_M1_type_m1_suite\03_kitchen_pantry_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\05_M1_type_m1_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\05_M1_type_m1_suite\03_kitchen_pantry_wide_view\render_9x16.png","pending"
"M1","04_main_bedroom_wide_view","Main Bedroom","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\05_M1_type_m1_suite\04_main_bedroom_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\05_M1_type_m1_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\05_M1_type_m1_suite\04_main_bedroom_wide_view\render_9x16.png","pending"
"M1","05_washroom_bath_wide_view","Washroom / Bath","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\05_M1_type_m1_suite\05_washroom_bath_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\05_M1_type_m1_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\05_M1_type_m1_suite\05_washroom_bath_wide_view\render_9x16.png","pending"
"DK2","02_living_dining_wide_view","Living / Dining","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\06_DK2_type_dk2_dual_key_suite\02_living_dining_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\06_DK2_type_dk2_dual_key_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\06_DK2_type_dk2_dual_key_suite\02_living_dining_wide_view\render_9x16.png","pending"
"DK2","03_kitchen_pantry_wide_view","Kitchen / Pantry","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\06_DK2_type_dk2_dual_key_suite\03_kitchen_pantry_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\06_DK2_type_dk2_dual_key_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\06_DK2_type_dk2_dual_key_suite\03_kitchen_pantry_wide_view\render_9x16.png","pending"
"DK2","04_main_bedroom_wide_view","Main Bedroom","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\06_DK2_type_dk2_dual_key_suite\04_main_bedroom_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\06_DK2_type_dk2_dual_key_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\06_DK2_type_dk2_dual_key_suite\04_main_bedroom_wide_view\render_9x16.png","pending"
"DK2","05_washroom_bath_wide_view","Washroom / Bath","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\06_DK2_type_dk2_dual_key_suite\05_washroom_bath_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\06_DK2_type_dk2_dual_key_suite\00_source_floor_plan.jpg","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\06_DK2_type_dk2_dual_key_suite\05_washroom_bath_wide_view\render_9x16.png","pending"
