unitCode,jobId,targetFile,status,score,notes
"J4","02_living_dining_wide_view","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\08_J4_type_j4_suite\02_living_dining_wide_view\render_9x16.png","generated_needs_accuracy_review","","Generated by Nicole. Must still be scored against reference_card.png; accept only if >= 8/10."
"J4","03_kitchen_pantry_wide_view","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\08_J4_type_j4_suite\03_kitchen_pantry_wide_view\render_9x16.png","generated_needs_accuracy_review","","Generated by Nicole. Must still be scored against reference_card.png; accept only if >= 8/10."
"J4","04_main_bedroom_wide_view","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\08_J4_type_j4_suite\04_main_bedroom_wide_view\render_9x16.png","generated_needs_accuracy_review","","Generated by Nicole. Must still be scored against reference_card.png; accept only if >= 8/10."
"J4","05_washroom_bath_wide_view","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\08_J4_type_j4_suite\05_washroom_bath_wide_view\render_9x16.png","generated_needs_accuracy_review","","Generated by Nicole. Must still be scored against reference_card.png; accept only if >= 8/10."
"M1","02_living_dining_wide_view","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\05_M1_type_m1_suite\02_living_dining_wide_view\render_9x16.png","generated_needs_accuracy_review","","Generated by Nicole. Must still be scored against reference_card.png; accept only if >= 8/10."
"M1","03_kitchen_pantry_wide_view","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\05_M1_type_m1_suite\03_kitchen_pantry_wide_view\render_9x16.png","generated_needs_accuracy_review","","Generated by Nicole. Must still be scored against reference_card.png; accept only if >= 8/10."
"M1","04_main_bedroom_wide_view","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\05_M1_type_m1_suite\04_main_bedroom_wide_view\render_9x16.png","generated_needs_accuracy_review","","Generated by Nicole. Must still be scored against reference_card.png; accept only if >= 8/10."
"M1","05_washroom_bath_wide_view","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\05_M1_type_m1_suite\05_washroom_bath_wide_view\render_9x16.png","generated_needs_accuracy_review","","Generated by Nicole. Must still be scored against reference_card.png; accept only if >= 8/10."
"M2","02_living_dining_wide_view","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\09_M2_type_m2_suite\02_living_dining_wide_view\render_9x16.png","generated_needs_accuracy_review","","Generated by Nicole. Must still be scored against reference_card.png; accept only if >= 8/10."
"M2","03_kitchen_pantry_wide_view","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\09_M2_type_m2_suite\03_kitchen_pantry_wide_view\render_9x16.png","generated_needs_accuracy_review","","Generated by Nicole. Must still be scored against reference_card.png; accept only if >= 8/10."
