"unitCode","unitName","jobId","jobTitle","dimensions","referenceFile","promptFile","targetFile","status"
"S1","Type S1 Suite","02_living_dining_wide_view","Living / Dining","5.22 m x 4.75 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\01_S1_type_s1_suite\02_living_dining_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\01_S1_type_s1_suite\02_living_dining_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\01_S1_type_s1_suite\02_living_dining_wide_view\render_9x16.png","generated_needs_accuracy_review"
"S1","Type S1 Suite","03_kitchen_pantry_wide_view","Kitchen / Pantry","2.7 m x 3.75 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\01_S1_type_s1_suite\03_kitchen_pantry_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\01_S1_type_s1_suite\03_kitchen_pantry_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\01_S1_type_s1_suite\03_kitchen_pantry_wide_view\render_9x16.png","generated_needs_accuracy_review"
"S1","Type S1 Suite","04_main_bedroom_wide_view","Main Bedroom","3.48 m x 4.5 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\01_S1_type_s1_suite\04_main_bedroom_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\01_S1_type_s1_suite\04_main_bedroom_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\01_S1_type_s1_suite\04_main_bedroom_wide_view\render_9x16.png","generated_needs_accuracy_review"
"S1","Type S1 Suite","05_washroom_bath_wide_view","Washroom / Bath","2.9 m x 3.66 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\01_S1_type_s1_suite\05_washroom_bath_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\01_S1_type_s1_suite\05_washroom_bath_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\01_S1_type_s1_suite\05_washroom_bath_wide_view\render_9x16.png","generated_needs_accuracy_review"
"S2","Type S2 Suite","02_living_dining_wide_view","Living / Dining","6.32 m x 3.12 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\02_S2_type_s2_suite\02_living_dining_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\02_S2_type_s2_suite\02_living_dining_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\02_S2_type_s2_suite\02_living_dining_wide_view\render_9x16.png","generated_needs_accuracy_review"
"S2","Type S2 Suite","03_kitchen_pantry_wide_view","Kitchen / Pantry","4.06 m x 1.52 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\02_S2_type_s2_suite\03_kitchen_pantry_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\02_S2_type_s2_suite\03_kitchen_pantry_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\02_S2_type_s2_suite\03_kitchen_pantry_wide_view\render_9x16.png","generated_needs_accuracy_review"
"S2","Type S2 Suite","04_main_bedroom_wide_view","Main Bedroom","3.33 m x 2.7 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\02_S2_type_s2_suite\04_main_bedroom_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\02_S2_type_s2_suite\04_main_bedroom_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\02_S2_type_s2_suite\04_main_bedroom_wide_view\render_9x16.png","generated_needs_accuracy_review"
"S2","Type S2 Suite","05_washroom_bath_wide_view","Washroom / Bath","2.73 m x 2.53 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\02_S2_type_s2_suite\05_washroom_bath_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\02_S2_type_s2_suite\05_washroom_bath_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\02_S2_type_s2_suite\05_washroom_bath_wide_view\render_9x16.png","generated_needs_accuracy_review"
"J1","Type J1 Suite","02_living_dining_wide_view","Living / Dining","3.47 m x 4.64 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\03_J1_type_j1_suite\02_living_dining_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\03_J1_type_j1_suite\02_living_dining_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\03_J1_type_j1_suite\02_living_dining_wide_view\render_9x16.png","generated_needs_accuracy_review"
"J1","Type J1 Suite","03_kitchen_pantry_wide_view","Kitchen / Pantry","2.69 m x 3.09 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\03_J1_type_j1_suite\03_kitchen_pantry_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\03_J1_type_j1_suite\03_kitchen_pantry_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\03_J1_type_j1_suite\03_kitchen_pantry_wide_view\render_9x16.png","generated_needs_accuracy_review"
"J1","Type J1 Suite","04_main_bedroom_wide_view","Main Bedroom","2.99 m x 3.26 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\03_J1_type_j1_suite\04_main_bedroom_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\03_J1_type_j1_suite\04_main_bedroom_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\03_J1_type_j1_suite\04_main_bedroom_wide_view\render_9x16.png","generated_needs_accuracy_review"
"J1","Type J1 Suite","05_washroom_bath_wide_view","Washroom / Bath","3.38 m x 2.58 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\03_J1_type_j1_suite\05_washroom_bath_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\03_J1_type_j1_suite\05_washroom_bath_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\03_J1_type_j1_suite\05_washroom_bath_wide_view\render_9x16.png","generated_needs_accuracy_review"
"J2","Type J2 Suite","02_living_dining_wide_view","Living / Dining","3.51 m x 5.4 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\07_J2_type_j2_suite\02_living_dining_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\07_J2_type_j2_suite\02_living_dining_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\07_J2_type_j2_suite\02_living_dining_wide_view\render_9x16.png","generated_needs_accuracy_review"
"J2","Type J2 Suite","03_kitchen_pantry_wide_view","Kitchen / Pantry","3.18 m x 3.13 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\07_J2_type_j2_suite\03_kitchen_pantry_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\07_J2_type_j2_suite\03_kitchen_pantry_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\07_J2_type_j2_suite\03_kitchen_pantry_wide_view\render_9x16.png","generated_needs_accuracy_review"
"J2","Type J2 Suite","04_main_bedroom_wide_view","Main Bedroom","2.76 m x 3.31 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\07_J2_type_j2_suite\04_main_bedroom_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\07_J2_type_j2_suite\04_main_bedroom_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\07_J2_type_j2_suite\04_main_bedroom_wide_view\render_9x16.png","generated_needs_accuracy_review"
"J2","Type J2 Suite","05_washroom_bath_wide_view","Washroom / Bath","3.01 m x 3.13 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\07_J2_type_j2_suite\05_washroom_bath_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\07_J2_type_j2_suite\05_washroom_bath_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\07_J2_type_j2_suite\05_washroom_bath_wide_view\render_9x16.png","generated_needs_accuracy_review"
"J3","Type J3 Suite","02_living_dining_wide_view","Living / Dining","3.26 m x 5.48 m","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\04_J3_type_j3_suite\02_living_dining_wide_view\reference_card.png","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\04_J3_type_j3_suite\02_living_dining_wide_view\prompt.txt","D:\New AI Directory\Damasara Heights - Royal Suites\MODERN_SET_3\04_J3_type_j3_suite\02_living_dining_wide_view\render_9x16.png","generated_needs_accuracy_review"
